NomeCliente; EnderecoCompleto; ValorFatura; NumeroPaginas;
Cliente Ficticio 4675; 12223560, R ELIZABETHA GAUBATZ ROHDE,127, CIDADE VISTA VERDE, SAO JOSE DOS CAMPOS, SP; 202.80; 12
Cliente Ficticio 4676; 07053091, R MODERNA,   219, VILA SAO RAFAEL, GUARULHOS, SP; 254.34; 12













Cliente Ficticio 4690; 09530240, R RUI BARBOSA,    97, APT 25, SANTO ANTONIO, SAO CAETANO DO SUL, SP; 155.91; 10













Cliente Ficticio 4704; 93315400, R VSC DE OURO PRETO,   496, CASA 1, OPERARIO, NOVO HAMBURGO, RS; 0; 10





















Cliente Ficticio 4726; 07260330, R ADRIANO DOS SANTOS CAVALCANTI,   337, JARDIM ANGELICA, GUARULHOS, SP; 200.94; 10













Cliente Ficticio 4740; 05741200, AV ENG SARAIVA DE OLIVEIRA,   365, JARDIM TABOAO, SAO PAULO, SP; 413.32; 10





















Cliente Ficticio 4762; 13207380, R MOCAMBIQUE,   463, JARDIM BONFIGLIOLI, JUNDIAI, SP; 0; 10













Cliente Ficticio 4776; 72460250, LESTE, QD 25, LT 06, LJ 01, GAMA, BRASILIA, DF; 206.61; 10





















Cliente Ficticio 4798; 07082190, R JAROSLAV HAJEK,   194, CASA 1, JARDIM MOREIRA, GUARULHOS, SP; 297.90; 10













Cliente Ficticio 4812; 30350342, R PRF JOSE RENAULT,   200, APT 2001, SAO BENTO, BELO HORIZONTE, MG; 367.65; 10





















Cliente Ficticio 4834; 08750600, R JOSE GALLUCCI,   120, JUNDIAPEBA, MOGI DAS CRUZES, SP; 246.87; 10













Cliente Ficticio 4848; 13088290, R DR JOAQUIM DE CASTRO TIBIRICA,   197, PARQUE SAO QUIRINO, CAMPINAS, SP; 315.58; 10





















Cliente Ficticio 4870; 22060001, AV NOSSA SRA DE COPACABANA,1085,APT 1105, COPACABANA, RIO DE JANEIRO, RJ; 153.47; 10













Cliente Ficticio 4884; 22790550, R MIN ALIOMAR BALEEIRO,   645, LJ, RECREIO DOS BANDEIRANTES, RIO DE JANEIRO, RJ; 531.10; 10





















Cliente Ficticio 4906; 16072430, R JOAO MADRID GIMENE,64, PLANALTO, ARACATUBA, SP; 189.26; 10













Cliente Ficticio 4920; 65053590, R B,    51, QD 35, COHATRAC I, SAO LUIS, MA; 100.94; 10





















Cliente Ficticio 4942; 96408000, AV ESPANHA,   331, CASA 2, TARUMA, BAGE, RS; 193.96; 10













Cliente Ficticio 4956; 22783225, R ROSA ANTUNES,   400, BL 9, APT 103, VARGEM PEQUENA, RIO DE JANEIRO, RJ; 97.27; 10





















Cliente Ficticio 4978; 12236720, R ADRIANO ESPINDOLA,   769, CIDADE MORUMBI, SAO JOSE DOS CAMPOS, SP; 0; 10













Cliente Ficticio 4992; 03944000, R ETTORE ANDREAZZA,   510, JARDIM TIETE, SAO PAULO, SP; 166.88; 10








